,year,raceId,round,circuitId,name,date,Accident_Number,Fastest_Lap
0,1950,839,7,14,Italian Grand Prix,1950-09-03,0,1900-01-01 00:02:00.000
1,1951,831,7,14,Italian Grand Prix,1951-09-16,0,1900-01-01 00:01:56.500
2,1952,824,8,14,Italian Grand Prix,1952-09-07,0,1900-01-01 00:02:06.100
3,1953,816,9,14,Italian Grand Prix,1953-09-13,0,1900-01-01 00:02:04.500
4,1954,806,8,14,Italian Grand Prix,1954-09-05,0,1900-01-01 00:02:00.800
5,1955,798,7,14,Italian Grand Prix,1955-09-11,0,1900-01-01 00:02:46.900
6,1956,791,8,14,Italian Grand Prix,1956-09-02,0,1900-01-01 00:02:45.500
7,1957,783,8,14,Italian Grand Prix,1957-09-08,0,1900-01-01 00:01:43.700
8,1958,774,10,14,Italian Grand Prix,1958-09-07,0,1900-01-01 00:01:42.900
9,1959,763,8,14,Italian Grand Prix,1959-09-13,0,1900-01-01 00:01:40.400
10,1960,754,9,14,Italian Grand Prix,1960-09-04,0,1900-01-01 00:02:43.600
11,1961,744,7,14,Italian Grand Prix,1961-09-10,0,1900-01-01 00:02:48.400
12,1962,735,7,14,Italian Grand Prix,1962-09-16,0,1900-01-01 00:01:42.300
13,1963,725,7,14,Italian Grand Prix,1963-09-08,0,1900-01-01 00:01:38.900
14,1964,716,8,14,Italian Grand Prix,1964-09-06,0,1900-01-01 00:01:38.800
15,1965,706,8,14,Italian Grand Prix,1965-09-12,0,1900-01-01 00:01:36.400
16,1966,696,7,14,Italian Grand Prix,1966-09-04,0,1900-01-01 00:01:32.400
17,1967,687,9,14,Italian Grand Prix,1967-09-10,0,1900-01-01 00:01:28.500
18,1968,675,9,14,Italian Grand Prix,1968-09-08,0,1900-01-01 00:01:26.500
19,1969,663,8,14,Italian Grand Prix,1969-09-07,0,1900-01-01 00:01:25.200
20,1970,652,10,14,Italian Grand Prix,1970-09-06,0,1900-01-01 00:01:25.200
21,1971,640,9,14,Italian Grand Prix,1971-09-05,0,1900-01-01 00:01:23.800
22,1972,629,10,14,Italian Grand Prix,1972-09-10,0,1900-01-01 00:01:36.300
23,1973,617,13,14,Italian Grand Prix,1973-09-09,0,1900-01-01 00:01:35.300
24,1974,602,13,14,Italian Grand Prix,1974-09-08,0,1900-01-01 00:01:34.200
25,1975,588,13,14,Italian Grand Prix,1975-09-07,0,1900-01-01 00:01:33.100
26,1976,572,13,14,Italian Grand Prix,1976-09-12,0,1900-01-01 00:01:41.300
27,1977,556,14,14,Italian Grand Prix,1977-09-11,0,1900-01-01 00:01:39.100
28,1978,540,14,14,Italian Grand Prix,1978-09-10,0,1900-01-01 00:01:38.230
29,1979,524,13,14,Italian Grand Prix,1979-09-09,0,1900-01-01 00:01:35.600
30,1980,509,12,21,Italian Grand Prix,1980-09-14,0,1900-01-01 00:01:36.089
31,1981,495,13,14,Italian Grand Prix,1981-09-13,0,1900-01-01 00:01:37.528
32,1982,481,15,14,Italian Grand Prix,1982-09-12,0,1900-01-01 00:01:33.619
33,1983,464,13,14,Italian Grand Prix,1983-09-11,0,1900-01-01 00:01:34.431
34,1984,449,14,14,Italian Grand Prix,1984-09-09,0,1900-01-01 00:01:31.912
35,1985,431,12,14,Italian Grand Prix,1985-09-08,0,1900-01-01 00:01:28.283
36,1986,416,13,14,Italian Grand Prix,1986-09-07,0,1900-01-01 00:01:28.099
37,1987,398,11,14,Italian Grand Prix,1987-09-06,0,1900-01-01 00:01:26.796
38,1988,383,12,14,Italian Grand Prix,1988-09-11,0,1900-01-01 00:01:29.070
39,1989,367,12,14,Italian Grand Prix,1989-09-10,0,1900-01-01 00:01:28.107
40,1990,332,12,14,Italian Grand Prix,1990-09-09,0,1900-01-01 00:01:26.254
41,1991,316,12,14,Italian Grand Prix,1991-09-08,0,1900-01-01 00:01:26.061
42,1992,301,13,14,Italian Grand Prix,1992-09-13,0,1900-01-01 00:01:26.119
43,1993,285,13,14,Italian Grand Prix,1993-09-12,0,1900-01-01 00:01:23.575
44,1994,268,12,14,Italian Grand Prix,1994-09-11,0,1900-01-01 00:01:25.930
45,1995,251,12,14,Italian Grand Prix,1995-09-10,0,1900-01-01 00:01:26.419
46,1996,237,14,14,Italian Grand Prix,1996-09-08,0,1900-01-01 00:01:26.110
47,1997,219,13,14,Italian Grand Prix,1997-09-07,0,1900-01-01 00:01:24.808
48,1998,204,14,14,Italian Grand Prix,1998-09-13,0,1900-01-01 00:01:25.139
49,1999,187,13,14,Italian Grand Prix,1999-09-12,0,1900-01-01 00:01:25.579
50,2000,171,14,14,Italian Grand Prix,2000-09-10,0,1900-01-01 00:01:25.595
51,2001,155,15,14,Italian Grand Prix,2001-09-16,0,1900-01-01 00:01:25.073
52,2002,138,15,14,Italian Grand Prix,2002-09-15,0,1900-01-01 00:01:23.657
53,2003,121,14,14,Italian Grand Prix,2003-09-14,0,1900-01-01 00:01:21.832
54,2004,104,15,14,Italian Grand Prix,2004-09-12,0,1900-01-01 00:01:21.046
55,2005,85,15,14,Italian Grand Prix,2005-09-04,0,1900-01-01 00:01:21.504
56,2006,67,15,14,Italian Grand Prix,2006-09-10,0,1900-01-01 00:01:22.559
57,2007,48,13,14,Italian Grand Prix,2007-09-09,0,1900-01-01 00:01:22.871
58,2008,31,14,14,Italian Grand Prix,2008-09-14,0,1900-01-01 00:01:28.047
59,2009,13,13,14,Italian Grand Prix,2009-09-13,0,1900-01-01 00:01:24.739
60,2010,350,14,14,Italian Grand Prix,2010-09-12,0,1900-01-01 00:01:24.139
61,2011,853,13,14,Italian Grand Prix,2011-09-11,0,1900-01-01 00:01:26.187
62,2012,872,13,14,Italian Grand Prix,2012-09-09,0,1900-01-01 00:01:27.239
63,2013,892,12,14,Italian Grand Prix,2013-09-08,0,1900-01-01 00:01:25.849
64,2014,912,13,14,Italian Grand Prix,2014-09-07,0,1900-01-01 00:01:28.004
65,2015,938,12,14,Italian Grand Prix,2015-09-06,0,1900-01-01 00:01:26.672
66,2016,961,14,14,Italian Grand Prix,2016-09-04,0,1900-01-01 00:01:25.340
67,2017,981,13,14,Italian Grand Prix,2017-09-03,0,1900-01-01 00:01:23.361
68,2018,1002,14,14,Italian Grand Prix,2018-09-02,0,1900-01-01 00:01:22.497
69,2019,1023,14,14,Italian Grand Prix,2019-09-08,0,1900-01-01 00:01:21.779
70,2020,1038,8,14,Italian Grand Prix,2020-09-06,0,1900-01-01 00:01:22.746
71,2021,1065,14,14,Italian Grand Prix,2021-09-12,0,1900-01-01 00:01:24.812
